STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,CLUSTER,CLUSTER NAME
HARYANA,FARIDABAD,2010,70,49,5,51,0,51,102,86,16,9,70,20,277,1672,1352,320,178,174,154,0,5,191,23,27,78,224,0,224,1317,4920,1,Moderate Areas
KERALA,IDUKKI,2007,24,22,1,28,0,28,9,7,2,6,0,27,168,213,26,187,202,20,110,0,25,1323,0,155,21,186,0,0,2381,4921,1,Moderate Areas
KERALA,IDUKKI,2008,15,28,1,28,0,28,15,12,3,6,0,16,186,268,60,208,202,13,113,3,7,1428,0,131,3,193,0,0,2267,4923,1,Moderate Areas
GUJARAT,MEHSANA,2007,31,24,1,6,0,6,50,45,5,10,0,27,245,699,189,510,93,28,39,9,13,601,2,23,0,276,0,165,2582,4924,1,Moderate Areas
MADHYA PRADESH,CHHATARPUR,2008,52,62,4,57,0,57,26,14,12,2,2,59,407,351,73,278,35,14,42,2,31,549,22,194,20,58,0,102,2837,4928,1,Moderate Areas
MADHYA PRADESH,DHAR,2003,87,86,0,82,0,82,27,23,4,5,17,46,261,515,112,403,138,27,11,0,46,586,40,200,13,85,0,0,2666,4938,1,Moderate Areas
GUJARAT,KUTCH,2008,40,8,1,16,0,16,44,42,2,4,1,34,297,656,254,402,73,35,52,7,14,418,1,26,6,334,0,295,2579,4941,1,Moderate Areas
KARNATAKA,TUMKUR,2009,83,54,9,19,0,19,23,6,17,17,6,59,212,585,258,327,176,9,104,6,19,746,13,85,0,79,0,5,2636,4945,1,Moderate Areas
MAHARASHTRA,YAVATMAL,2007,70,50,7,49,0,49,32,31,1,9,0,66,263,994,141,853,119,20,63,0,45,979,8,129,27,174,0,221,1624,4949,1,Moderate Areas
KARNATAKA,HASSAN,2008,72,59,1,17,0,17,28,24,4,9,0,35,245,368,186,182,152,4,53,2,0,1002,8,76,0,79,1,0,2738,4949,1,Moderate Areas
TAMIL NADU,THOOTHUGUDI,2004,59,93,1,35,0,35,31,18,13,3,0,15,162,516,60,456,6,8,74,1,35,422,2,16,84,62,0,201,3124,4950,1,Moderate Areas
KARNATAKA,GULBARGA,2007,91,90,1,35,0,35,54,38,16,9,3,64,185,262,83,179,498,17,77,2,46,1205,19,91,0,127,0,19,2057,4952,1,Moderate Areas
TAMIL NADU,THIRUVANNAMALAI,2002,35,39,0,10,0,10,44,44,0,3,0,17,164,490,75,415,289,10,28,2,45,739,9,54,29,18,0,227,2701,4953,1,Moderate Areas
TAMIL NADU,THOOTHUGUDI,2010,84,168,1,32,0,32,32,25,7,1,0,63,202,336,98,238,0,11,79,1,35,574,3,4,0,57,0,347,2924,4954,1,Moderate Areas
MAHARASHTRA,JALGAON,2012,102,77,4,45,0,45,43,39,4,38,3,81,254,882,247,635,241,94,244,5,24,699,1,134,51,409,0,434,1089,4954,1,Moderate Areas
ANDHRA PRADESH,ADILABAD,2010,98,90,9,48,0,48,55,48,7,5,0,15,196,302,85,217,65,36,162,1,26,1044,18,133,155,429,0,342,1726,4955,1,Moderate Areas
UTTAR PRADESH,ALLAHABAD,2010,133,92,30,33,0,33,136,116,20,6,0,55,252,899,606,293,155,82,225,36,4,352,84,55,0,177,0,400,1749,4955,1,Moderate Areas
ODISHA,DCP BBSR,2012,46,72,0,56,0,56,91,76,15,19,9,81,292,1376,768,608,64,13,172,5,12,726,24,75,22,91,0,184,1530,4960,1,Moderate Areas
UTTAR PRADESH,ALLAHABAD,2002,146,188,34,40,0,40,80,63,17,14,0,51,225,642,205,437,211,87,295,9,30,506,63,57,55,147,0,325,1757,4962,1,Moderate Areas
MADHYA PRADESH,SHIVPURI,2012,61,54,1,104,0,104,29,22,7,7,11,39,135,243,100,143,83,5,38,1,31,987,9,148,19,67,0,236,2660,4968,1,Moderate Areas
RAJASTHAN,PALI,2003,38,54,4,27,0,27,80,65,15,1,0,29,233,318,95,223,78,36,184,0,36,42,9,184,1,190,0,208,3217,4969,1,Moderate Areas
DELHI UT,OUTER,2009,74,44,10,41,0,41,332,204,128,3,1,21,217,1974,1295,679,6,29,99,0,8,227,21,61,6,173,0,24,1598,4969,1,Moderate Areas
MAHARASHTRA,THANE RURAL,2006,152,46,8,68,0,68,35,14,21,46,25,104,471,700,230,470,294,52,143,7,33,730,6,137,43,147,0,627,1096,4970,1,Moderate Areas
KERALA,PATHANAMTHITTA,2010,19,13,0,29,0,29,11,10,1,1,8,24,101,180,50,130,328,12,105,0,10,905,2,132,51,124,0,0,2916,4971,1,Moderate Areas
MADHYA PRADESH,MORENA,2004,66,144,3,55,0,55,15,11,4,7,9,42,208,375,78,297,168,6,31,0,15,1048,33,89,3,62,0,129,2468,4976,1,Moderate Areas
GUJARAT,JUNAGADH,2002,55,22,0,10,0,10,50,41,9,9,0,43,228,531,145,386,112,85,109,1,58,536,2,38,13,368,0,168,2542,4980,1,Moderate Areas
WEST BENGAL,PURAB MIDNAPUR,2012,82,5,15,65,0,65,196,170,26,10,28,28,15,450,127,323,403,23,135,4,15,16,31,19,0,572,0,743,2126,4981,1,Moderate Areas
MAHARASHTRA,NASIK RURAL,2011,86,59,1,43,0,43,33,28,5,28,8,52,226,655,202,453,359,49,171,6,9,758,5,91,33,298,0,672,1347,4989,1,Moderate Areas
MAHARASHTRA,NANDED,2009,102,71,6,34,0,34,40,29,11,32,2,90,338,450,142,308,271,28,126,14,69,1151,30,62,3,346,0,247,1479,4991,1,Moderate Areas
RAJASTHAN,JAIPUR WEST,2011,27,19,0,23,0,23,88,72,16,0,3,48,263,982,589,393,11,151,792,1,6,241,10,25,0,208,0,278,1815,4991,1,Moderate Areas
ASSAM,GUWAHATI CITY,2006,60,43,4,33,0,33,151,108,43,10,0,130,461,1822,786,1036,169,75,200,13,37,374,6,180,0,150,0,214,860,4992,1,Moderate Areas
TAMIL NADU,THENI,2008,28,55,1,7,0,7,35,32,3,0,0,21,75,263,30,233,60,2,88,2,17,484,4,30,5,35,0,188,3592,4992,1,Moderate Areas
BIHAR,NALANDA,2012,114,75,34,11,0,11,113,85,28,6,2,16,67,269,82,187,174,41,220,1,14,2540,79,7,1,116,0,97,996,4993,1,Moderate Areas
WEST BENGAL,BURDWAN,2010,134,19,33,72,0,72,112,69,43,12,61,54,13,693,257,436,396,12,112,3,17,70,28,93,0,693,0,103,2266,4996,1,Moderate Areas
WEST BENGAL,PASCHIM MIDNAPUR,2012,88,86,27,64,0,64,115,115,0,13,25,37,13,582,141,441,416,59,64,8,41,210,26,99,1,823,0,2,2201,5000,1,Moderate Areas
ANDHRA PRADESH,NALGONDA,2001,122,60,1,35,0,35,27,19,8,6,0,28,133,318,43,275,220,13,122,8,72,1132,31,188,59,214,0,432,1781,5002,1,Moderate Areas
MADHYA PRADESH,REWA,2011,46,41,6,91,0,91,26,25,1,2,4,57,401,408,190,218,0,12,64,0,15,1003,32,122,107,112,8,183,2267,5007,1,Moderate Areas
MAHARASHTRA,YAVATMAL,2011,84,47,1,44,0,44,54,46,8,3,1,74,273,919,205,714,130,25,78,5,40,1005,8,118,37,198,0,255,1609,5008,1,Moderate Areas
UTTAR PRADESH,BAREILLY,2011,116,150,40,34,0,34,205,193,12,3,0,56,129,609,308,301,107,130,271,6,0,170,63,92,0,155,0,355,2319,5010,1,Moderate Areas
ANDHRA PRADESH,ADILABAD,2004,113,83,11,50,0,50,48,42,6,4,0,9,177,256,46,210,88,34,152,5,30,1266,14,135,71,296,0,271,1898,5011,1,Moderate Areas
MAHARASHTRA,NASIK RURAL,2010,91,49,3,53,0,53,28,19,9,41,9,45,226,697,240,457,368,70,126,8,14,729,6,79,27,344,0,677,1321,5011,1,Moderate Areas
ANDHRA PRADESH,VISAKHAPATNAM,2008,32,36,1,29,0,29,34,26,8,3,0,28,263,1045,343,702,14,31,267,21,10,412,13,87,2,488,0,313,1886,5015,1,Moderate Areas
KERALA,TRIVANDRUM COMMR.,2008,10,22,2,20,0,20,18,6,12,1,87,57,233,494,211,283,426,52,330,3,12,716,1,128,7,115,0,3,2279,5016,1,Moderate Areas
DELHI UT,NORTH-WEST,2010,60,49,4,50,0,50,260,132,128,8,5,178,225,2411,1472,939,2,20,112,0,5,177,11,62,5,163,0,24,1185,5016,1,Moderate Areas
GUJARAT,PALANPUR,2006,42,18,0,22,0,22,37,35,2,7,0,21,150,419,39,380,54,28,15,4,11,1292,1,43,0,188,0,180,2486,5018,1,Moderate Areas
TAMIL NADU,THENI,2011,34,113,2,22,0,22,88,79,9,2,0,33,125,261,72,189,68,5,185,4,21,666,12,40,0,89,0,251,2998,5019,1,Moderate Areas
TAMIL NADU,DINDIGUL,2003,62,35,0,18,0,18,23,14,9,4,0,22,118,467,153,314,51,15,47,1,32,497,3,51,2,30,0,306,3236,5020,1,Moderate Areas
MADHYA PRADESH,MORENA,2005,62,105,3,32,0,32,30,20,10,9,2,70,214,464,165,299,181,2,38,0,14,1376,27,89,3,74,0,135,2092,5022,1,Moderate Areas
ASSAM,KAMRUP,2012,48,11,2,54,0,54,121,107,14,14,0,22,125,361,117,244,58,49,61,3,9,173,5,70,0,172,0,111,3553,5022,1,Moderate Areas
HARYANA,FARIDABAD,2012,72,50,6,47,0,47,103,87,16,10,16,34,347,1819,1495,324,188,118,46,2,9,163,8,31,84,197,0,245,1428,5023,1,Moderate Areas
KERALA,KANNUR,2002,28,63,7,21,0,21,14,8,6,4,0,17,242,197,88,109,567,3,123,8,3,1007,0,89,7,203,0,0,2421,5024,1,Moderate Areas
TAMIL NADU,KRISHNAGIRI,2005,42,21,1,10,0,10,30,26,4,7,0,14,95,349,175,174,184,10,60,0,25,773,10,47,34,28,0,305,2979,5024,1,Moderate Areas
UTTAR PRADESH,MEERUT,2008,166,160,25,50,0,50,178,123,55,3,0,111,125,965,504,461,145,118,302,22,0,22,37,73,165,326,0,317,1715,5025,1,Moderate Areas
RAJASTHAN,SIKAR,2010,58,35,0,52,0,52,114,86,28,0,0,12,173,478,193,285,29,16,660,1,24,250,12,11,0,313,0,329,2462,5029,1,Moderate Areas
GUJARAT,JAMNAGAR,2012,43,40,2,22,0,22,41,37,4,10,3,48,220,587,256,331,96,53,41,4,4,482,0,40,4,439,0,2,2849,5030,1,Moderate Areas
BIHAR,VAISHALI,2004,99,152,8,42,0,42,217,105,112,9,1,72,84,385,71,314,214,75,272,1,25,362,98,26,1,248,0,95,2546,5032,1,Moderate Areas
ANDHRA PRADESH,ADILABAD,2005,108,48,13,53,0,53,65,46,19,9,0,20,191,329,53,276,68,13,173,4,30,1273,21,144,77,280,0,276,1838,5033,1,Moderate Areas
KARNATAKA,SHIMOGA,2012,50,78,2,14,0,14,32,24,8,6,8,57,195,331,188,143,276,13,103,2,9,978,6,158,3,222,0,4,2487,5034,1,Moderate Areas
MADHYA PRADESH,DEWAS,2001,50,112,0,78,0,78,20,11,9,10,1,67,367,677,115,562,119,16,22,0,39,508,15,279,80,96,0,107,2376,5039,1,Moderate Areas
UTTAR PRADESH,AGRA,2004,125,153,21,32,0,32,156,106,50,10,1,61,196,1053,570,483,217,134,174,17,10,528,70,87,89,282,0,359,1265,5040,1,Moderate Areas
MAHARASHTRA,SATARA,2012,65,48,5,43,0,43,36,25,11,51,13,208,505,1111,396,715,294,38,210,7,35,527,0,78,29,166,0,495,1078,5042,1,Moderate Areas
MADHYA PRADESH,DHAR,2004,100,78,0,109,0,109,30,29,1,5,1,38,249,535,139,396,69,30,12,0,28,688,48,154,18,112,0,151,2590,5045,1,Moderate Areas
DELHI UT,SOUTH,2012,39,19,3,70,0,70,245,134,111,2,0,52,235,2126,1354,772,3,33,256,1,4,101,17,59,36,68,0,25,1651,5045,1,Moderate Areas
GUJARAT,VADODARA COMMR.,2001,34,14,0,3,0,3,35,32,3,4,0,39,244,997,449,548,151,104,182,3,7,365,0,11,10,90,0,153,2601,5047,1,Moderate Areas
TAMIL NADU,DINDIGUL,2004,52,48,1,18,0,18,26,18,8,0,0,20,116,504,96,408,35,15,56,0,29,463,7,30,4,38,0,329,3256,5047,1,Moderate Areas
MADHYA PRADESH,CHHATARPUR,2009,67,76,2,64,0,64,20,15,5,3,4,77,369,255,111,144,67,16,48,1,28,635,17,178,6,85,0,129,2900,5047,1,Moderate Areas
HARYANA,FARIDABAD,2005,76,44,4,39,0,39,91,67,24,2,30,30,285,1130,876,254,190,126,43,4,8,349,18,42,253,188,0,23,2076,5051,1,Moderate Areas
KARNATAKA,BELGAUM,2001,120,55,2,8,0,8,27,12,15,19,0,47,212,386,139,247,389,17,102,1,25,1002,4,62,0,125,0,21,2429,5053,1,Moderate Areas
MAHARASHTRA,NAGPUR RURAL,2002,95,35,1,66,0,66,25,19,6,10,1,61,401,998,76,922,132,24,38,1,90,915,7,114,61,98,0,306,1574,5053,1,Moderate Areas
ANDHRA PRADESH,NIZAMABAD,2005,88,38,16,26,0,26,57,32,25,15,0,41,292,494,90,404,49,21,183,10,36,2025,16,88,41,410,0,283,830,5059,1,Moderate Areas
WEST BENGAL,HOWRAH,2012,67,32,13,56,0,56,132,120,12,14,28,36,67,439,117,322,203,67,125,0,4,194,16,99,31,883,0,252,2301,5059,1,Moderate Areas
GUJARAT,VADODARA COMMR.,2009,24,25,0,6,0,6,33,28,5,5,0,21,276,1426,939,487,134,32,92,7,2,253,0,17,0,178,0,125,2404,5060,1,Moderate Areas
MADHYA PRADESH,MORENA,2008,59,75,2,26,0,26,35,21,14,5,5,74,182,490,272,218,115,2,23,1,5,1914,32,73,1,73,0,128,1742,5062,1,Moderate Areas
DELHI UT,NORTH-EAST,2010,68,27,7,51,0,51,458,252,206,5,1,57,81,2544,1821,723,6,12,90,0,5,276,24,68,5,216,0,162,899,5062,1,Moderate Areas
RAJASTHAN,PALI,2002,32,74,2,25,0,25,74,59,15,0,0,34,216,332,81,251,88,28,244,5,44,48,14,116,3,205,0,201,3280,5065,1,Moderate Areas
GUJARAT,KHEDA NORTH,2007,43,7,1,10,0,10,35,34,1,6,0,8,138,393,88,305,49,39,33,9,17,387,0,31,0,154,0,260,3449,5069,1,Moderate Areas
BIHAR,BETTIAH,2012,83,150,5,35,0,35,166,141,25,6,2,24,136,653,183,470,483,68,115,7,20,2392,28,0,0,20,0,79,601,5073,1,Moderate Areas
ASSAM,GUWAHATI CITY,2004,21,39,15,88,0,88,295,228,67,20,3,78,534,867,300,567,504,99,158,3,13,576,3,45,0,55,0,113,1545,5074,1,Moderate Areas
UTTAR PRADESH,GORAKHPUR,2011,105,100,31,50,0,50,232,215,17,6,0,47,205,1179,857,322,203,114,365,17,11,407,41,71,0,224,0,338,1328,5074,1,Moderate Areas
JHARKHAND,RANCHI,2005,239,168,19,102,5,97,105,0,105,82,19,190,239,1138,462,676,174,26,49,0,11,681,11,14,0,58,0,867,883,5075,1,Moderate Areas
ODISHA,KHURDA,2001,46,85,1,65,0,65,39,32,7,24,4,151,481,953,356,597,86,27,126,0,31,1248,11,28,9,171,0,161,1329,5076,1,Moderate Areas
UTTAR PRADESH,GHAZIABAD,2001,230,381,18,31,0,31,112,79,33,10,2,117,227,1357,656,701,123,83,258,14,10,134,33,54,138,140,0,138,1469,5079,1,Moderate Areas
TAMIL NADU,KRISHNAGIRI,2008,54,65,0,20,0,20,44,36,8,8,35,36,87,300,143,157,185,10,37,12,23,807,2,40,5,21,0,473,2816,5080,1,Moderate Areas
TAMIL NADU,KANCHIPURAM,2005,42,62,0,18,0,18,29,0,29,4,0,19,90,430,70,360,38,0,0,0,9,346,12,43,13,10,0,38,3882,5085,1,Moderate Areas
TAMIL NADU,KANCHIPURAM,2003,48,62,0,31,0,31,16,16,0,3,0,3,131,471,92,379,75,0,31,0,4,447,11,57,60,23,0,547,3067,5087,1,Moderate Areas
GUJARAT,BHAVNAGAR,2001,64,28,0,9,0,9,60,51,9,5,0,48,203,561,190,371,113,154,103,3,25,100,2,36,7,129,0,0,3438,5088,1,Moderate Areas
TAMIL NADU,THOOTHUGUDI,2002,72,103,1,13,0,13,26,19,7,6,0,23,169,514,62,452,129,6,38,6,38,487,4,121,0,48,0,212,3074,5090,1,Moderate Areas
ANDHRA PRADESH,ANANTAPUR,2006,184,116,0,16,0,16,67,32,35,13,0,28,223,516,258,258,176,8,86,18,41,1132,16,187,11,189,0,396,1667,5090,1,Moderate Areas
RAJASTHAN,DAUSA,2009,29,30,0,13,0,13,92,62,30,0,0,26,93,869,583,286,14,12,261,0,13,159,14,19,0,144,0,242,3062,5092,1,Moderate Areas
GUJARAT,KHEDA NORTH,2012,24,8,0,18,0,18,62,55,7,10,0,11,67,206,90,116,43,28,26,5,6,280,0,22,0,161,0,296,3819,5092,1,Moderate Areas
KARNATAKA,GULBARGA,2006,99,125,2,18,0,18,45,28,17,7,3,35,190,278,92,186,494,4,90,2,58,1183,9,78,0,122,0,12,2239,5093,1,Moderate Areas
UTTAR PRADESH,MORADABAD,2008,126,118,42,75,0,75,179,163,16,6,3,60,166,783,315,468,77,84,239,10,0,82,38,117,114,139,0,219,2416,5093,1,Moderate Areas
TAMIL NADU,COIMBATORE RURAL,2012,51,28,0,9,0,9,41,32,9,4,0,72,125,354,102,252,130,4,89,0,10,442,1,38,0,48,0,744,2903,5093,1,Moderate Areas
MADHYA PRADESH,RAJGARH,2004,30,45,2,98,0,98,19,14,5,13,1,41,281,458,68,390,119,4,11,0,85,415,4,193,31,126,0,89,3033,5098,1,Moderate Areas
MADHYA PRADESH,MORENA,2007,47,92,3,39,0,39,38,24,14,15,6,67,220,409,218,191,139,2,36,0,13,1836,26,104,2,78,0,140,1788,5100,1,Moderate Areas
KARNATAKA,TUMKUR,2010,88,57,4,25,0,25,29,14,15,15,3,87,255,652,217,435,278,11,85,5,34,773,14,107,0,78,0,16,2485,5101,1,Moderate Areas
RAJASTHAN,DAUSA,2012,30,17,6,14,0,14,101,75,26,0,1,18,33,942,567,375,14,8,479,2,7,36,19,9,0,181,0,239,2945,5101,1,Moderate Areas
MADHYA PRADESH,CHHATARPUR,2007,53,80,0,65,0,65,32,25,7,1,3,38,369,332,47,285,47,9,23,2,17,592,31,216,22,85,0,122,2964,5103,1,Moderate Areas
RAJASTHAN,BHILWARA,2005,35,48,8,39,0,39,136,102,34,3,2,43,265,829,335,494,130,8,339,2,27,105,14,87,0,293,0,216,2476,5105,1,Moderate Areas
GUJARAT,VADODARA COMMR.,2007,24,22,0,8,0,8,47,37,10,9,0,25,359,1403,831,572,119,34,152,10,6,306,0,11,8,268,0,118,2180,5109,1,Moderate Areas
DELHI UT,WEST,2009,49,35,19,63,0,63,328,225,103,2,8,46,192,2151,1422,729,3,24,135,1,5,231,21,38,6,217,0,14,1523,5111,1,Moderate Areas
UTTAR PRADESH,G.R.P.,2011,30,14,9,2,0,2,13,6,7,30,4,216,1,3043,90,2953,62,19,34,3,0,7,1,38,0,0,0,0,1590,5116,1,Moderate Areas
GUJARAT,MEHSANA,2002,49,43,0,13,0,13,41,36,5,49,1,52,246,611,121,490,194,37,61,2,88,1143,0,40,4,170,0,156,2120,5120,1,Moderate Areas
DELHI UT,NORTH-EAST,2007,66,74,9,89,0,89,241,200,41,2,11,55,206,1287,732,555,2,32,91,5,0,247,17,120,13,249,0,48,2257,5121,1,Moderate Areas
ANDHRA PRADESH,ADILABAD,2011,109,94,8,84,0,84,77,70,7,5,0,8,230,346,96,250,85,24,175,3,33,1897,20,112,142,429,0,359,881,5121,1,Moderate Areas
TAMIL NADU,DHARMAPURI,2001,88,88,0,17,0,17,35,30,5,7,0,22,214,427,185,242,433,6,33,0,74,841,6,65,8,18,0,370,2371,5123,1,Moderate Areas
GUJARAT,JAMNAGAR,2011,40,25,1,21,0,21,65,51,14,10,5,20,196,460,193,267,124,49,47,2,5,479,0,34,8,356,0,1,3178,5126,1,Moderate Areas
ANDHRA PRADESH,VIJAYAWADA CITY,2008,34,58,1,30,0,30,49,36,13,1,0,24,189,1176,321,855,8,52,326,13,23,1482,9,104,252,395,0,291,610,5127,1,Moderate Areas
MADHYA PRADESH,CHHATARPUR,2011,58,78,5,77,0,77,44,42,2,2,2,74,306,277,132,145,96,8,52,0,16,598,33,185,8,75,0,133,3006,5133,1,Moderate Areas
KERALA,IDUKKI,2012,22,29,3,53,0,53,10,10,0,5,0,13,110,149,33,116,295,37,158,0,11,1230,2,189,10,219,0,0,2589,5134,1,Moderate Areas
RAJASTHAN,DAUSA,2010,41,31,3,24,0,24,97,69,28,1,3,14,80,894,552,342,28,14,268,1,13,134,18,18,0,162,0,268,3024,5136,1,Moderate Areas
JHARKHAND,RANCHI,2009,202,211,16,63,0,63,113,42,71,43,5,178,192,1582,829,753,166,67,144,4,23,796,19,12,0,68,4,196,1034,5138,1,Moderate Areas
RAJASTHAN,SIKAR,2009,55,28,3,36,0,36,84,59,25,2,3,11,123,492,190,302,37,19,552,0,20,380,21,18,0,323,0,337,2594,5138,1,Moderate Areas
DELHI UT,SOUTH,2011,30,25,5,65,0,65,222,143,79,1,5,31,203,2252,1457,795,4,36,211,3,2,124,11,50,29,59,0,35,1738,5141,1,Moderate Areas
KARNATAKA,HASSAN,2009,59,48,2,22,0,22,22,15,7,23,5,54,237,364,164,200,161,9,85,3,0,1189,15,75,0,103,2,0,2664,5142,1,Moderate Areas
RAJASTHAN,DAUSA,2011,24,18,6,13,0,13,98,72,26,3,8,19,71,908,596,312,22,7,316,1,12,110,12,17,0,184,0,278,3018,5145,1,Moderate Areas
GUJARAT,BHAVNAGAR,2002,59,43,1,9,0,9,51,39,12,9,0,46,277,500,200,300,402,135,70,5,76,137,4,57,7,125,0,10,3123,5146,1,Moderate Areas
MADHYA PRADESH,MORENA,2002,62,116,3,46,0,46,27,17,10,10,2,79,366,533,79,454,154,11,19,0,20,1274,28,73,2,41,0,116,2167,5149,1,Moderate Areas
KERALA,IDUKKI,2009,19,16,1,23,0,23,3,1,2,3,0,14,182,231,49,182,209,5,120,2,14,1286,1,130,20,199,0,0,2672,5150,1,Moderate Areas
TAMIL NADU,MADURAI RURAL,2009,68,82,1,18,0,18,49,39,10,2,0,77,119,341,82,259,179,4,134,1,16,606,9,75,17,82,0,451,2821,5152,1,Moderate Areas
KERALA,KANNUR,2005,23,18,2,25,0,25,7,5,2,5,0,15,196,191,94,97,616,17,111,0,81,986,0,121,17,215,0,4,2503,5153,1,Moderate Areas
MAHARASHTRA,NAVI MUMBAI,2012,57,20,2,36,0,36,19,11,8,6,7,417,596,1513,772,741,124,80,455,15,4,404,3,64,25,91,0,365,854,5157,1,Moderate Areas
MADHYA PRADESH,REWA,2009,64,43,0,73,0,73,30,25,5,1,1,46,353,527,204,323,47,15,47,1,22,734,44,119,2,80,1,183,2725,5158,1,Moderate Areas
MADHYA PRADESH,MORENA,2011,56,100,3,40,0,40,28,23,5,23,6,48,178,419,170,249,103,2,43,0,17,1905,32,85,4,85,0,181,1802,5160,1,Moderate Areas
UTTAR PRADESH,ALLAHABAD,2008,143,89,33,49,0,49,144,124,20,3,3,62,245,763,416,347,177,113,226,24,3,413,68,91,55,259,0,364,1834,5161,1,Moderate Areas
RAJASTHAN,PALI,2010,41,34,3,53,0,53,102,98,4,0,0,14,153,363,155,208,3,14,393,0,8,45,9,75,0,442,0,323,3086,5161,1,Moderate Areas
MAHARASHTRA,NANDED,2011,90,76,3,32,0,32,52,43,9,15,4,59,389,498,149,349,315,34,209,3,67,1088,29,93,3,325,0,250,1528,5162,1,Moderate Areas
TAMIL NADU,DINDIGUL,2002,61,38,0,14,0,14,26,25,1,9,0,18,156,555,195,360,50,13,30,1,28,456,2,33,44,23,0,334,3274,5165,1,Moderate Areas
RAJASTHAN,GANGANAGAR,2007,61,73,1,66,0,66,56,44,12,1,0,18,191,388,106,282,0,36,686,2,6,959,11,64,2,625,0,157,1769,5172,1,Moderate Areas
MADHYA PRADESH,CHHINDWARA,2009,73,22,2,138,0,138,32,27,5,0,0,21,225,322,125,197,70,2,48,0,26,1340,18,252,36,160,0,216,2169,5172,1,Moderate Areas
KERALA,KASARGOD,2012,14,23,2,89,0,89,17,10,7,6,1,36,129,123,71,52,590,4,175,7,51,963,3,156,15,205,0,3,2562,5174,1,Moderate Areas
GUJARAT,MEHSANA,2001,28,17,0,4,0,4,58,49,9,23,5,45,195,557,87,470,98,47,90,0,15,1206,5,47,1,188,0,152,2394,5175,1,Moderate Areas
UTTAR PRADESH,ALLAHABAD,2009,110,105,28,38,0,38,148,126,22,6,0,51,242,773,444,329,146,111,265,26,4,406,70,59,51,289,0,365,1882,5175,1,Moderate Areas
ANDHRA PRADESH,KRISHNA,2007,64,52,1,27,0,27,57,47,10,0,0,10,164,521,65,456,20,16,147,8,53,2370,13,161,150,348,0,307,689,5178,1,Moderate Areas
ANDHRA PRADESH,NIZAMABAD,2007,151,77,9,23,0,23,60,48,12,22,1,17,287,490,83,407,84,20,161,5,40,1695,25,88,59,455,0,418,991,5178,1,Moderate Areas
ANDHRA PRADESH,KHAMMAM,2003,89,44,6,45,0,45,41,35,6,6,0,8,211,364,86,278,120,32,144,8,45,2246,17,162,246,180,0,339,826,5179,1,Moderate Areas
DELHI UT,SOUTH WEST,2003,45,45,5,57,0,57,118,73,45,3,4,60,368,1396,716,680,21,47,157,0,12,148,22,52,26,119,0,21,2453,5179,1,Moderate Areas
RAJASTHAN,JAIPUR SOUTH,2007,21,18,2,14,0,14,65,58,7,1,2,27,304,1293,736,557,114,161,721,4,5,393,7,26,0,157,0,200,1644,5179,1,Moderate Areas
MADHYA PRADESH,REWA,2008,52,42,0,82,0,82,27,26,1,0,1,56,509,606,232,374,65,19,54,0,24,873,26,124,7,67,0,190,2355,5179,1,Moderate Areas
ANDHRA PRADESH,VIJAYAWADA CITY,2009,34,54,1,23,0,23,63,53,10,0,0,22,176,1137,439,698,8,23,306,38,16,1547,17,177,198,433,0,290,617,5180,1,Moderate Areas
MADHYA PRADESH,CHHINDWARA,2011,71,26,2,111,0,111,24,22,2,1,2,12,208,272,113,159,70,7,42,0,19,1352,14,189,41,89,0,220,2408,5180,1,Moderate Areas
ANDHRA PRADESH,ANANTAPUR,2009,140,78,4,22,0,22,68,60,8,9,0,24,176,547,47,500,98,24,104,26,22,1049,14,157,13,143,0,649,1814,5181,1,Moderate Areas
ANDHRA PRADESH,ANANTAPUR,2007,149,85,3,31,0,31,87,35,52,10,0,20,203,603,76,527,85,13,125,17,8,1073,14,176,194,0,0,398,1888,5182,1,Moderate Areas
GUJARAT,JUNAGADH,2001,56,37,0,14,0,14,46,39,7,4,0,52,252,547,131,416,88,97,122,1,14,541,11,44,8,384,0,162,2706,5186,1,Moderate Areas
BIHAR,VAISHALI,2012,122,153,13,20,0,20,223,171,52,14,1,80,152,825,431,394,432,97,54,1,16,2088,62,1,0,196,0,219,417,5186,1,Moderate Areas
KERALA,TRIVANDRUM COMMR.,2003,10,53,16,17,0,17,14,7,7,14,0,113,334,442,185,257,311,19,277,8,13,893,2,114,5,82,0,0,2452,5189,1,Moderate Areas
